2007-12-20,685.83,691,680.61,689.69,4422200
2007-12-19,674.21,679.5,669,677.37,4421100
2007-12-18,674.16,676.71,652.5,673.35,7166700
2007-12-17,688,695.42,663.67,669.23,5486000
2007-12-14,687.51,699.7,687.26,689.96,3673500
2007-12-13,696.31,697.62,681.21,694.05,5040800
2007-12-12,714,714.32,688.5,699.35,6159100
2007-12-11,719.94,720.99,698.78,699.2,6139100
2007-12-10,715.99,724.8,714,718.42,3856200
2007-12-07,714.99,718,710.5,714.87,3852100
2007-12-06,697.8,716.56,697.01,715.26,4909000
2007-12-05,692.73,698.93,687.5,698.51,4209600
2007-12-04,678.31,692,677.12,684.16,4231800
2007-12-03,691.01,695,681.14,681.53,4325100
2007-11-30,711,711.06,682.11,693,7895500
2007-11-29,690.75,702.79,687.77,697,6208000
2007-11-28,682.11,694.3,672.14,692.26,7916500
2007-11-27,674.8,676.43,650.26,673.57,8904500
2007-11-26,680.2,693.4,665,666,6790100
2007-11-23,670,678.28,668.11,676.7,2738700
2007-11-21,643.77,669.97,642.08,660.52,7013500
2007-11-20,636.48,659.1,632.87,648.54,9816900
2007-11-19,629.59,636.77,618.5,625.85,5527400
2007-11-16,633.94,635.49,616.02,633.63,9042800
2007-11-15,638.57,647.5,624,629.65,6967700
2007-11-14,673.28,675.49,636.27,641.68,8094700
2007-11-13,644.99,660.92,632.07,660.55,8426100
2007-11-12,657.74,669.93,626.21,632.07,10227300
2007-11-09,675.78,681.88,661.21,663.97,11388100
2007-11-08,734.6,734.89,677.18,693.84,16512200
2007-11-07,741.13,747.24,723.14,732.94,8252900
2007-11-06,737.56,741.79,725,741.79,8436300
2007-11-05,706.99,730.23,706.07,725.65,8883700
2007-11-02,710.51,713.58,697.34,711.25,5841500
2007-11-01,702.79,713.72,701.78,703.21,6527200
2007-10-31,700.69,707,696.04,707,6876800
2007-10-30,677.51,699.91,677.51,694.77,6887700
2007-10-29,677.77,680,672.09,679.23,3066300
2007-10-26,674.03,676.54,668.06,674.6,3353900
2007-10-25,678.68,678.97,663.55,668.51,5795500
2007-10-24,672.71,677.47,659.56,675.82,7404200
2007-10-23,661.25,677.6,660,675.77,6793700
2007-10-22,638.67,655,636.28,650.75,6598200
2007-10-19,654.56,658.49,643.23,644.71,15768400
2007-10-18,635.41,641.37,628.5,639.62,12289200
2007-10-17,630.45,634,621.59,633.48,6007000
2007-10-16,618.49,625.92,611.99,616,6014100
2007-10-15,638.47,639.86,615.55,620.11,6943800
2007-10-12,623.98,638.4,618.24,637.39,6823700
2007-10-11,633.64,641.41,609,622,11799000
2007-10-10,621.36,625.68,616.8,625.39,5343600
2007-10-09,615.11,623.78,608.39,615.18,8767800
2007-10-08,595,610.26,593.95,609.62,5028000
2007-10-05,587.11,596,587.01,594.05,5068700
2007-10-04,585.09,585.09,577.06,579.03,2986700
2007-10-03,586.25,588.99,580.36,584.02,3879500
2007-10-02,583.38,596.81,580.01,584.39,7056600
2007-10-01,569.97,584.35,569.61,582.55,4711300
2007-09-28,567,569.55,564.12,567.27,2497800
2007-09-27,571.73,571.74,565.78,567.5,2034300
2007-09-26,570.4,571.79,563.81,568.16,3346100
2007-09-25,564,569.56,562.86,569,2730600
2007-09-24,561,571.46,560,568.02,5297000
2007-09-21,556.34,560.79,552.83,560.1,8011700
2007-09-20,547,556.8,546.03,552.83,5525000
2007-09-19,539.27,549.45,538.86,546.85,5526900
2007-09-18,526.52,537.25,524.27,535.27,4215700
2007-09-17,526.53,529.28,524.07,525.3,2197500
2007-09-14,523.2,530.27,522.22,528.75,2764900
2007-09-13,524.06,527.21,523.22,524.78,1891100
2007-09-12,520.53,527.98,519,522.65,2986000
2007-09-11,516.99,521.65,515.73,521.33,2703600
2007-09-10,521.28,522.07,510.88,514.48,3225800
2007-09-07,517.86,521.24,516.8,519.35,3663600
2007-09-06,529.36,529.83,518.24,523.52,3625900
2007-09-05,523.4,529.48,522.25,527.8,3312900
2007-09-04,515.02,528,514.62,525.15,3693700
2007-08-31,513.1,516.5,511.47,515.25,2977600
2007-08-30,512.36,515.4,510.58,511.4,2651700
2007-08-29,507.84,513.3,507.23,512.88,2549300
2007-08-28,511.53,514.98,505.79,506.4,3273900
2007-08-27,514.43,517.45,511.4,513.26,2325100
2007-08-24,512.61,515.55,508.5,515,2472700
2007-08-23,516,516.13,507,512.19,3076700
2007-08-22,509.96,516.25,509.25,512.75,3252700
2007-08-21,498.94,508.16,497.77,506.61,3610600
2007-08-20,502.46,502.56,496,497.92,2697300
2007-08-17,497.44,501,491.65,500.04,5479400
2007-08-16,492.02,496.43,480.46,491.52,8645600
